Airport,Day,Hour,Intensity Level,Intensity Status,Busyness
ADD,Monday,0,0,Average,45
ADD,Monday,1,0,Average,25
ADD,Monday,2,-2,Low,10
ADD,Monday,3,-2,Low,5
ADD,Monday,4,-2,Low,15
ADD,Monday,5,0,Average,35
ADD,Monday,6,1,Above average,55
ADD,Monday,7,2,High,90
ADD,Monday,8,2,High,100
ADD,Monday,9,1,Above average,75
ADD,Monday,10,0,Average,40
ADD,Monday,11,-2,Low,20
ADD,Monday,12,-2,Low,20
ADD,Monday,13,0,Average,25
ADD,Monday,14,0,Average,25
ADD,Monday,15,0,Average,25
ADD,Monday,16,-2,Low,20
ADD,Monday,17,-2,Low,15
ADD,Monday,18,-2,Low,20
ADD,Monday,19,0,Average,30
ADD,Monday,20,0,Average,50
ADD,Monday,21,1,Above average,70
ADD,Monday,22,1,Above average,75
ADD,Monday,23,1,Above average,65
ADD,Tuesday,0,0,Average,30
ADD,Tuesday,1,-2,Low,10
ADD,Tuesday,2,-2,Low,5
ADD,Tuesday,3,-2,Low,5
ADD,Tuesday,4,-2,Low,5
ADD,Tuesday,5,-1,Below average,20
ADD,Tuesday,6,1,Above average,60
ADD,Tuesday,7,1,Above average,75
ADD,Tuesday,8,1,Above average,70
ADD,Tuesday,9,1,Above average,55
ADD,Tuesday,10,0,Average,30
ADD,Tuesday,11,-2,Low,20
ADD,Tuesday,12,-2,Low,15
ADD,Tuesday,13,-2,Low,15
ADD,Tuesday,14,-2,Low,20
ADD,Tuesday,15,-2,Low,15
ADD,Tuesday,16,-2,Low,10
ADD,Tuesday,17,-2,Low,10
ADD,Tuesday,18,-2,Low,10
ADD,Tuesday,19,0,Average,25
ADD,Tuesday,20,0,Average,45
ADD,Tuesday,21,1,Above average,60
ADD,Tuesday,22,1,Above average,65
ADD,Tuesday,23,0,Average,50
ADD,Wednesday,0,0,Average,45
ADD,Wednesday,1,0,Average,25
ADD,Wednesday,2,-2,Low,10
ADD,Wednesday,3,-2,Low,5
ADD,Wednesday,4,-2,Low,10
ADD,Wednesday,5,0,Average,25
ADD,Wednesday,6,0,Average,50
ADD,Wednesday,7,2,High,85
ADD,Wednesday,8,2,High,90
ADD,Wednesday,9,1,Above average,65
ADD,Wednesday,10,0,Average,35
ADD,Wednesday,11,-2,Low,20
ADD,Wednesday,12,-2,Low,15
ADD,Wednesday,13,0,Average,25
ADD,Wednesday,14,0,Average,25
ADD,Wednesday,15,0,Average,25
ADD,Wednesday,16,-2,Low,15
