flight_iata,Aircraft_Model,Aircraft_isTurboProp,Aircraft_isWidebody
MH194,Airbus A330-300,False,True
AK6440,Airbus A320,False,False
MH196,Airbus A330-300,False,True
TR469,Airbus A321neo,False,False
SQ297,Airbus A350-900,False,True
SQ34,Airbus A350-900,False,True
UL309,Airbus A330-300,False,True
AK5646,Airbus A320,False,False
AI343,Airbus A320neo,False,False
OD805,Boeing 737MAX 8 Passenger,False,False
QF36,Airbus A330-200,False,True
SQ446,Boeing 787-10,False,True
AK5228,Airbus A320,False,False
AK6014,Airbus A320,False,False
AK6322,None,None,None
AK896,Airbus A320,False,False
D7218,Airbus A330-300,False,True
MH2606,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH616,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
TR466,Airbus A320,False,False
AK534,Airbus A320,False,False
MH127,Airbus A330-200,False,True
MH607,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
OD215,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
5J806,Airbus A321neo,False,False
AK1772,Airbus A320,False,False
EY473,Boeing 787-9,False,True
QZ557,None,None,None
3K551,None,None,None
QF52,Airbus A330-200,False,True
AK888,Airbus A320,False,False
D7182,Airbus A330-300,False,True
QF72,Airbus A330-200,False,True
TR428,Airbus A320,False,False
QF2,Airbus A380-800 Passenger,False,True
AK719,Airbus A320,False,False
3K513,Airbus A320,False,False
GA837,Airbus A330-300,False,True
EY411,Boeing 787-10,False,True
MH1162,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH156,Airbus A330-200,False,True
MH847,Boeing 737-800 Passenger,False,False
SQ994,Boeing 737MAX 8 Passenger,False,False
OD155,Boeing 737MAX 8 Passenger,False,False
QZ209,Airbus A320,False,False
ID7158,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ442,Boeing 737MAX 8 Passenger,False,False
TG317,Boeing 777-200 / 200ER,False,True
WE211,Airbus A320,False,False
MH1450,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH190,Airbus A330-300,False,True
PG171,ATR 72,True,False
TG341,Boeing 787-8,False,True
WE136,Airbus A320 (sharklets),False,False
AK72,Airbus A320,False,False
LQ771,None,None,None
MH843,Boeing 737-800 Passenger,False,False
AK716,Airbus A320,False,False
SQ424,Airbus A380-800 Passenger,False,True
PR737,Airbus A321,False,False
TG349,Boeing 787-8,False,True
SQ121,Airbus A350-900,False,True
AK524,Airbus A320,False,False
